Symbol,Name,Current Price,Market Cap (mil),RS Rating,Comp Rating,EPS Rating,SMR Rating,A/D Rating,Quality Score,% Chg 3 Months,% Chg 6 Months,% Chg 12 Months,Sector,ROE
LOMA,Loma Negra Compania Industrial Argentina S.A. ADR,9.51,1183.4,29,35,76,NA,NA,36.2,-21.3,-7.1,33.4,BUILDING,2.5
RIOT,Riot Platforms Inc.,23.75,8210.7,68,52,6,NA,NA,36.2,-15.5,68.4,35.6,FINANCE,-22.1
TSLX,Sixth Street Specialty Lending Inc.,17.9,1734.3,47,53,31,NA,NA,36.2,7.8,-1.6,-23.8,FINANCE,10.6
ULH,Universal Logistics Holdings Inc.,17.7,475.7,65,31,36,NA,NA,36.2,19.2,9.3,-28.8,TRANSPORTATION,-16.8
GNTX,Gentex Corp.,22.24,4731.9,29,42,67,NA,NA,36.15,-14.3,5.5,-23.4,AUTO,15.3
SYM,Symbotic Inc.,41.89,26980.2,34,41,62,NA,NA,36.15,0.5,-16.3,-18.3,MACHINE,-8.1
AEO,American Eagle Outfitters Inc.,15.06,2498.5,18,36,88,NA,NA,36.1,-15.4,-12.7,-23.6,RETAIL,11.1
DANOY,Danone S.A. ADR,13.81,45269.8,23,35,83,NA,NA,36.1,-8.4,-14.3,-20.5,FOOD/BEV,10.7
NBHC,National Bank Holdings Corp.,40.97,1832.4,47,47,38,NA,NA,36.1,-4.3,7.6,-1.5,BANKS,8.1
IVT,InvenTrust Properties Corp.,30.82,2397.8,41,44,49,NA,NA,36.05,-10.2,-2.8,3.2,REAL EST,6.3
LKFT,Lakefront Biotherapeutics ADR,28.55,1887.7,40,57,34,NA,NA,36.05,0.9,-11.3,-14.1,MEDICAL,10.6
MTN,Vail Resorts Inc.,139.8,4908.9,51,46,34,NA,NA,36.05,-3.4,2.7,-7.3,LEISURE,48.8
PHOE,Phoenix Asia Holdings Ltd.,19.5,446,90,31,4,NA,NA,36.05,21.9,25.2,129.4,BUILDING,-26
XIACY,Xiaomi Corp. ADR,16.71,85320.4,26,54,55,NA,NA,36,6.6,-25.5,-54.3,TELECOM,18.1
CCEC,Capital Clean Energy Carriers Corp.,21.66,1325.1,57,50,21,NA,NA,35.95,8.1,7.2,2.7,TRANSPORTATION,8
DMC,Del Monte Corp.,30.38,1455.4,37,42,56,NA,NA,35.95,10.7,-25.7,-16.2,AGRICULTURE,4.5
DXC,DXC Technology Co.,10.78,1827.9,49,46,36,NA,NA,35.95,25.3,-7.5,-24.5,BUSINS SVC,0.6
FUJHY,Subaru Corp. ADR,8.28,12338.7,43,48,41,NA,NA,35.95,3.4,1.3,-19.3,AUTO,3.4
RSI,Rush Street Interactive Inc.,23.3,5852.3,45,38,51,NA,NA,35.95,-19.9,13.8,7.4,LEISURE,29.5
SRRK,Scholar Rock Holding Corp.,46.65,5969.9,69,38,21,NA,NA,35.95,-1.4,17.2,43.6,MEDICAL,-123.1
ARE,Alexandria Real Estate Equities Inc.,53.3,9817.1,54,44,32,NA,NA,35.9,4.4,10.3,-39.1,REAL EST,-8.6
BMA,Banco Macro S.A. ADR,75.06,5175.6,41,45,47,NA,NA,35.9,-26.2,13.2,85.7,BANKS,6.2
CAAP,Corporacion America Airports S.A.,23.62,3903.2,36,46,52,NA,NA,35.9,-14.2,-4.8,29.1,REAL EST,16.8
INOD,Innodata Inc.,57.14,1959.1,27,47,62,NA,NA,35.9,-40.2,29,-18.3,BUSINS SVC,37.7
PHI,PLDT Inc. ADR,17.7,3891.7,32,50,52,NA,NA,35.9,1.4,-16.7,-9.4,TELECOM,24
RYTM,Rhythm Pharmaceuticals Inc.,97.71,6817.7,60,46,22,NA,NA,35.9,1,13.8,-0.8,MEDICAL,-244.5
NOC,Northrop Grumman Corp.,527.39,74441,31,38,68,NA,NA,35.85,1.1,-27.2,-8.1,AEROSPACE/DEFENSE,26.2
GBDC,Golub Capital BDC Inc.,12.54,3305.4,42,50,39,NA,NA,35.8,1.5,0.5,-11.7,FINANCE,9.4
WFRD,Weatherford International PLC,82.03,5964.1,38,42,54,NA,NA,35.8,-10.5,-5.1,25.2,ENERGY,28.9
COLL,Collegium Pharmaceutical Inc.,22.77,728.6,7,48,85,NA,NA,35.75,-32.1,-34.6,-37,MEDICAL,23.7
UNIT,Uniti Group Inc.,9.45,2339.9,55,40,35,NA,NA,35.75,-18.8,24.3,37.4,REAL EST,0
SKE,Skeena Resources Ltd.,32.12,3929,78,40,6,NA,NA,35.7,11.9,12.8,87.3,MINING,-146.1
LBTYB,Liberty Global Ltd. Cl B,12.42,3481.7,46,39,47,NA,NA,35.65,-5.9,1.1,7,TELECOM,-64.6
NOV,NOV Inc.,20.07,7318.5,71,42,12,NA,NA,35.65,7.6,10,54.7,ENERGY,2.3
BATRA,Atlanta Braves Holdings Inc. Series A,55.84,3252.9,72,40,13,NA,NA,35.6,2.5,18.5,22.9,LEISURE,-4.5
BCAX,Bicara Therapeutics Inc.,22.64,1494.8,78,38,8,NA,NA,35.6,-2.5,23,104.7,MEDICAL,-30.9
BWXT,BWX Technologies Inc.,147.52,13408.9,15,41,83,NA,NA,35.6,-28.2,-29.4,-15.2,AEROSPACE/DEFENSE,28.4
CV,CapsoVision Inc.,6.7,316.8,65,31,33,NA,NA,35.6,1.4,22.7,44.4,MEDICAL,-184.9
INN,Summit Hotel Properties Inc.,5.59,690.7,48,40,43,NA,NA,35.6,-15.7,29.7,-6.5,REAL EST,-0.6
LRMR,Larimar Therapeutics Inc.,3.79,394.8,51,41,38,NA,NA,35.6,4.1,-11.9,-11.4,MEDICAL,-132.6
EROK,EagleRock Land LLC,23.65,3131.5,68,35,24,NA,NA,35.55,14.5,0,0,ENERGY,0
HOS,Hornbeck Offshore Services Inc.,8.41,1906.2,49,38,44,NA,NA,35.55,-3.2,-11.1,28.4,ENERGY,2
OCSL,Oaktree Specialty Lending Corp.,12.41,1110.8,54,45,29,NA,NA,35.55,7.1,10.2,-7.5,FINANCE,2.3
WMK,Weis Markets Inc.,72.26,1800.2,47,36,49,NA,NA,35.55,-5.8,9.5,0.2,RETAIL,6.7
WWW,Wolverine World Wide Inc.,18.93,1587.2,58,33,39,NA,NA,35.55,7.6,14,-37.7,CONSUMER,26
PRME,Prime Medicine Inc.,3.12,569.5,37,44,51,NA,NA,35.45,-3.4,-11.6,-39.1,MEDICAL,-146.8
SCHL,Scholastic Corp.,34.75,663,45,40,46,NA,NA,35.45,-18.9,4.1,26.2,MEDIA,6.7
UHAL.B,U-Haul Holding Co. Series N,56.68,11123.7,71,42,11,NA,NA,35.45,3.4,37,10.8,FINANCE,0.6
KTOS,Kratos Defense & Security Solutions Inc.,47.46,8946.8,11,33,97,NA,NA,35.400000000000006,-12.5,-49,-41.2,AEROSPACE/DEFENSE,1.3
CSR,Centerspace,56,1004.9,40,44,47,NA,NA,35.4,0.6,-6,-3.8,REAL EST,2.5
GYRE,Gyre Therapeutics Inc.,7.55,761.3,66,54,2,NA,NA,35.4,20.8,7.7,-1.8,MEDICAL,5.9
HLI,Houlihan Lokey Inc. Cl A,130.55,9272.6,24,48,62,NA,NA,35.4,-7.3,-6,-37.4,FINANCE,18.8
ORC,Orchid Island Capital Inc.,6.04,1215.6,25,43,67,NA,NA,35.4,-9.9,-15.3,-14.7,REAL EST,15.6
SWGAY,Swatch Group AG ADR,10.69,11020.1,35,37,62,NA,NA,35.4,-18.8,1,13.7,RETAIL,0
DGICB,Donegal Group Inc. Cl B,21.05,711.8,62,41,23,NA,NA,35.35,-7.9,34.1,26.8,INSURANCE,13.4
GEHC,GE HealthCare Technologies Inc.,64.13,29108.9,37,42,53,NA,NA,35.35,4.1,-8.7,-13.3,MEDICAL,22.1
TKO,TKO Group Holdings Inc.,189.26,35828.8,37,54,38,NA,NA,35.35,-4.8,-5.9,-6.7,MEDIA,5
DASH,DoorDash Inc.,192.94,84307.5,59,47,19,NA,NA,35.3,11.2,16.9,-28,RETAIL,10.5
KR,Kroger Co.,60,37218.3,30,44,59,NA,NA,35.3,6,-18.1,-9.1,RETAIL,14.2
VPG,Vishay Precision Group Inc.,62.65,826.7,58,36,34,NA,NA,35.3,-55.7,52.4,88.9,ELECTRNCS,1.6
BROS,Dutch Bros Inc.,40.03,7016.2,10,35,95,NA,NA,35.25,-43.4,-21.8,-31.1,RETAIL,13.1
HYLN,Hyliion Holdings Corp.,4.2,728.7,63,34,30,NA,NA,35.25,-48.1,119.9,111.1,ENERGY,-26.2
BBSEY,BB Seguridade Participacoes S/A ADR,7.91,15186.6,76,44,1,NA,NA,35.2,3.4,18.9,28,INSURANCE,0
CRCL,Circle Internet Group Inc.,91.78,21602.3,52,48,26,NA,NA,35.2,14.4,-30.9,-34.6,FINANCE,-2.8
ALB,Albemarle Corp.,110.91,13576.5,22,33,82,NA,NA,35.150000000000006,-30.8,-33.1,37,CHEMICAL,-5.2
AAOI,Applied Optoelectronics Inc.,105.17,8325.9,55,40,32,NA,NA,35.15,-35,13.5,262.2,TELECOM,-7.9
NE,Noble Corp. PLC,44.26,7053,69,42,12,NA,NA,35.15,6.2,-5.1,47.6,ENERGY,4.7
SNDX,Syndax Pharmaceuticals Inc.,17.62,1578.8,36,43,52,NA,NA,35.15,-7.3,-25.5,14,MEDICAL,-161.8
YETI,YETI Holdings Inc.,42.21,3008.6,43,44,42,NA,NA,35.15,-13.8,16.2,17.8,LEISURE,23.8
APP,AppLovin Corp.,308.06,107623.8,6,36,98,NA,NA,35.1,-34.4,-30.4,-50.4,SOFTWARE,212.9
BOOT,Boot Barn Holdings Inc.,122.92,3719.9,11,39,88,NA,NA,35.1,-29.4,-22.1,-31.2,RETAIL,18.4
EMA,Emera Inc.,49.28,15155.2,43,43,43,NA,NA,35.1,-4.8,-7.2,7.5,UTILITY,8.2
OGE,OGE Energy Corp.,45.51,9564.7,44,42,43,NA,NA,35.1,-3.8,-4.8,3.7,UTILITY,9.8
