Symbol,Name,Current Price,Market Cap (mil),RS Rating,Comp Rating,EPS Rating,SMR Rating,A/D Rating,Quality Score,% Chg 3 Months,% Chg 6 Months,% Chg 12 Months,Sector,ROE
DELL,Dell Technologies Inc. Cl C,568.06,374112.3,99,99,99,NA,NA,74.3,38.7,280.7,330,COMPUTER,0
ECO,Okeanis Eco Tankers Corp.,84.95,3309.5,99,99,99,NA,NA,74.3,61.9,79,181.4,TRANSPORTATION,25
PAYS,Paysign Inc.,12.34,701.3,99,99,98,NA,NA,74.1,66.8,283.2,108.8,FINANCE,19.1
RCRUY,Recruit Holdings Co. Ltd. ADR,22.08,152063.4,98,99,97,NA,NA,73.65,59.1,168.7,99.1,BUSINS SVC,31.8
HBB,Hamilton Beach Brands Holding Co. Cl A,31.64,418.3,98,98,98,NA,NA,73.6,54.9,95.2,107.1,CONSUMER,15.2
LPG,Dorian LPG Ltd.,58.15,2494.7,97,99,98,NA,NA,73.6,47,77.3,80.1,TRANSPORTATION,17.7
BWLP,BW LPG Ltd.,25.66,3921.9,97,99,97,NA,NA,73.4,41.8,68.4,63.9,TRANSPORTATION,13.3
AMD,Advanced Micro Devices Inc.,559.82,889845.9,95,99,98,NA,NA,73.1,4.2,180.7,254.5,CHIPS,7.1
DHT,DHT Holdings Inc.,23.27,3679.4,95,99,98,NA,NA,73.1,23.2,33,81.8,TRANSPORTATION,19.4
UGP,Ultrapar Participacoes S/A ADR,7.58,8226.1,97,99,95,NA,NA,73,57.9,51.3,90.5,ENERGY,17.9
RDVT,Red Violet Inc.,75.94,1237.5,95,99,97,NA,NA,72.9,37.8,91.8,48.8,BUSINS SVC,14
CRWD,CrowdStrike Holdings Inc. Cl A,237.65,251580.8,97,99,94,NA,NA,72.8,38.8,118.1,89.1,SOFTWARE,-4.2
HALO,Halozyme Therapeutics Inc.,112.45,12448.5,97,99,94,NA,NA,72.8,64,76.7,46.6,MEDICAL,153.6
SHIP,Seanergy Maritime Holdings Corp.,18.59,407.6,95,97,99,NA,NA,72.8,27.1,44.8,104.3,TRANSPORTATION,7.7
TWLO,Twilio Inc. Cl A,243.84,37816.4,97,99,94,NA,NA,72.8,31,92.7,125,SOFTWARE,0.4
FTNT,Fortinet Inc.,169.84,126624.3,95,99,96,NA,NA,72.7,17.3,103.7,109.7,SOFTWARE,135.7
NET,Cloudflare Inc. Cl A,323.6,118909.3,95,99,96,NA,NA,72.7,44.4,43.5,44.7,SOFTWARE,-8.2
HPE,Hewlett Packard Enterprise Co.,60.76,81028.4,97,98,94,NA,NA,72.55,28.2,182.2,140.7,BUSINS SVC,0.2
TEAM,Atlassian Corp. Cl A,192.02,48736.8,92,99,99,NA,NA,72.55,132.1,161.4,13.2,SOFTWARE,-4.5
WT,WisdomTree Inc.,23.07,3369.6,95,96,99,NA,NA,72.55,26,61.8,59.4,FINANCE,26.6
SMTC,Semtech Corp.,185,16629.7,95,99,95,NA,NA,72.5,16.9,152.1,202.5,CHIPS,-7.4
OOMA,Ooma Inc.,22.73,616.9,96,96,97,NA,NA,72.4,32.9,63.4,73.8,TELECOM,7.2
GCT,GigaCloud Technology Inc.,52.86,1898,94,99,95,NA,NA,72.25,55.6,24.1,81.5,BUSINS SVC,30.8
ILMN,Illumina Inc.,239.62,37022.2,98,99,90,NA,NA,72.25,48,94.9,132.6,MEDICAL,33.4
NTAP,NetApp Inc.,197.79,38678.8,95,99,93,NA,NA,72.1,23.8,96.3,56.5,COMPUTER,106.7
KRT,Karat Packaging Inc.,49.87,1004.2,98,99,89,NA,NA,72.05,64.9,79.7,104.4,MISC,20.6
RNG,RingCentral Inc. Cl A,71.86,6244.6,99,98,89,NA,NA,72.05,105.2,93.8,125.5,SOFTWARE,0
FROG,JFrog Ltd.,92.81,11587.9,94,98,95,NA,NA,72,12.2,111.6,85.6,SOFTWARE,-8.6
SNOW,Snowflake Inc.,332.43,119384,95,96,96,NA,NA,71.95,43.1,91.9,49.7,SOFTWARE,-54.1
INCY,Incyte Corp.,125.31,25868.3,91,99,97,NA,NA,71.9,27.6,35.9,45.7,MEDICAL,29.9
FRO,Frontline PLC,51.42,12028.3,97,99,89,NA,NA,71.8,25.6,59.9,115.4,TRANSPORTATION,15.6
VCTR,Victory Capital Holdings Inc. Cl A,106.56,6410.5,94,97,95,NA,NA,71.75,22.5,59,55.1,FINANCE,18.6
ANET,Arista Networks Inc.,199.39,251652.1,92,98,96,NA,NA,71.7,17.5,46.5,36,COMPUTER,31.4
MPC,Marathon Petroleum Corp.,424.89,118496.8,99,99,86,NA,NA,71.7,74.9,79.9,129.6,ENERGY,23.1
P,Everpure Inc.,104.14,34652.3,93,97,96,NA,NA,71.7,39.6,61.7,19.6,COMPUTER,13.7
AAMI,Acadian Asset Management Inc.,90.74,3213.3,93,96,97,NA,NA,71.65,20.7,80.7,81.5,FINANCE,198.5
ASX,ASE Technology Holding Co. Ltd. ADR,41.63,84690.5,95,96,94,NA,NA,71.55,2.6,92.2,262.9,CHIPS,12.5
ERO,Ero Copper Corp.,34.17,3472.9,90,97,99,NA,NA,71.55,14.9,37.1,103.5,MINING,34.6
VLO,Valero Energy Corp.,413.28,118778.7,99,99,85,NA,NA,71.5,74.9,73.3,152.2,ENERGY,9.7
OKTA,Okta Inc. Cl A,182.37,33219.4,98,99,86,NA,NA,71.45,54.8,132.5,94.8,SOFTWARE,3.5
SSRM,SSR Mining Inc.,36.33,7370.3,91,97,97,NA,NA,71.4,17.4,40.9,66.7,MINING,12
TEN,Tsakos Energy Navigation Ltd.,52.09,1555.2,97,99,87,NA,NA,71.4,36,45.6,124.5,TRANSPORTATION,9
FSM,Fortuna Mining Corp.,11.95,3538,88,98,99,NA,NA,71.3,29,24,50.5,MINING,17.2
SN,SharkNinja Inc.,165.75,23407.2,93,97,94,NA,NA,71.3,17.7,61.5,41.7,CONSUMER,30.4
TENB,Tenable Holdings Ltd.,35.43,3971.6,91,98,95,NA,NA,71.25,31.9,74.2,16.6,SOFTWARE,-9.9
NHC,National Healthcare Corp.,222.11,3521.3,93,95,96,NA,NA,71.2,10.2,40.8,86.5,MEDICAL,11.7
INSW,International Seaways Inc.,111.15,5474.7,97,98,87,NA,NA,71.15,31.6,60.3,127.7,TRANSPORTATION,16
UVE,Universal Insurance Holdings Inc.,44.16,1235.7,91,96,97,NA,NA,71.15,15.9,32.5,71.8,INSURANCE,39.6
ATEYY,Advantest Corp. ADR,203.8,135442.7,90,95,99,NA,NA,71.05,4.5,36.5,98.4,CHIPS,59.4
TRV,Travelers Cos. Inc.,374.62,79152.1,88,97,99,NA,NA,71.05,21.7,25.2,34.8,INSURANCE,20.7
NAT,Nordic American Tankers Ltd.,8.25,1725.8,98,98,85,NA,NA,71,41,52.2,150,TRANSPORTATION,2.6
FMAO,Farmers & Merchants Bancorp Inc.,35.53,491.3,92,99,91,NA,NA,70.95,23.2,46.4,34,BANKS,9.3
NMM,Navios Maritime Partners L.P.,92.96,2652.3,96,99,86,NA,NA,70.95,32.5,37.9,89.1,TRANSPORTATION,8.8
TNK,Teekay Tankers Ltd.,100.92,3496.4,96,99,86,NA,NA,70.95,35.6,53,84.4,TRANSPORTATION,18.5
DXCM,DexCom Inc.,89.35,33181.3,89,97,97,NA,NA,70.9,23.3,32.1,17.9,MEDICAL,34.5
LITE,Lumentum Holdings Inc.,930.91,80156.8,91,93,99,NA,NA,70.8,9.5,32.8,442.8,TELECOM,-240
WPM,Wheaton Precious Metals Corp.,151.01,69173.6,86,98,99,NA,NA,70.8,23.2,17.3,44.1,MINING,18.5
EGO,Eldorado Gold Corp.,43.22,11070.1,90,97,95,NA,NA,70.75,30.8,24.9,60.1,MINING,12.7
EXEL,Exelixis Inc.,58.36,14492.8,88,99,95,NA,NA,70.75,12.4,41.4,44.3,MEDICAL,35.5
QLYS,Qualys Inc.,174.96,6160.7,92,99,90,NA,NA,70.75,57.2,81,28.9,SOFTWARE,38.2
SBLK,Star Bulk Carriers Corp.,32.48,3555.5,94,99,87,NA,NA,70.65,25.8,42.5,63.7,TRANSPORTATION,3.4
CXW,CoreCivic Inc.,35.23,3514.7,96,96,88,NA,NA,70.6,21.9,74.2,68.3,BUSINS SVC,8
MSADY,MS&AD Insurance Group Holdings Inc. ADR,33.13,49642.3,89,99,93,NA,NA,70.6,16.2,27.7,42.9,INSURANCE,10.1
QRVO,Qorvo Inc.,117.18,10543.4,90,98,93,NA,NA,70.6,19.1,51.9,30.2,CHIPS,10.1
NEM,Newmont Corp.,123.41,131068.8,86,97,99,NA,NA,70.55,18.9,15.8,57.6,MINING,22.2
PANW,Palo Alto Networks Inc.,363.58,306799.1,97,98,84,NA,NA,70.55,26.3,115.3,76.8,SOFTWARE,1.7
TRGP,Targa Resources Corp.,292.19,61127.9,89,94,99,NA,NA,70.55,13,24.9,71.8,ENERGY,65.1
DINO,HF Sinclair Corp.,115.9,20733.2,99,99,80,NA,NA,70.5,79.7,93.4,118.2,ENERGY,6.2
MEDP,Medpace Holdings Inc.,612.33,17170.7,87,99,95,NA,NA,70.5,33.1,34.6,22,MEDICAL,70.2
NVGS,Navigator Holdings Ltd.,25,1541,88,98,95,NA,NA,70.5,15.2,32.9,48.4,TRANSPORTATION,8.2
PNTG,Pennant Group Inc.,39.62,1398.2,88,98,95,NA,NA,70.5,18.5,19.1,60,MEDICAL,9.5
CHEF,Chefs' Warehouse Inc.,110.85,4494.1,95,90,96,NA,NA,70.45,16.2,82.2,66.2,FOOD/BEV,12.7
IMAX,Imax Corp.,52.77,2842.5,92,93,96,NA,NA,70.45,19,40.9,63.3,LEISURE,10.9
REPYY,Repsol S.A. ADR,33.94,36873.6,95,94,91,NA,NA,70.45,37.5,20.7,95.7,ENERGY,8.1
THC,Tenet Healthcare Corp.,261.99,21087.9,89,96,96,NA,NA,70.45,51.8,28.9,37.7,MEDICAL,33.5
GCBC,Greene County Bancorp Inc.,35.66,605.9,94,98,87,NA,NA,70.4,21.2,64,44.2,BANKS,15.9
CZFS,Citizens Financial Services Inc.,81.35,392.7,90,97,93,NA,NA,70.35,19.7,40.5,25.3,BANKS,11.5
LQDT,Liquidity Services Inc.,42.88,1352.9,91,96,93,NA,NA,70.35,13.2,52.5,51.8,RETAIL,14.6
MG,Mistras Group Inc.,20.75,631.9,93,90,98,NA,NA,70.35,12.4,47,111.1,BUSINS SVC,7.8
PAYC,Paycom Software Inc.,226.28,10011.1,92,99,88,NA,NA,70.35,81.2,81.8,4.5,SOFTWARE,27.4
MGNI,Magnite Inc.,25.15,3676,92,98,89,NA,NA,70.3,40.6,97.7,5.3,BUSINS SVC,17.1
UMC,United Microelectronics Corp. ADR,24.61,58153.8,96,97,85,NA,NA,70.25,2.2,164.6,252.1,CHIPS,11.4
CVE,Cenovus Energy Inc.,32.62,60707.9,95,93,91,NA,NA,70.2,29.7,36.3,86.7,ENERGY,12.9
HAFN,Hafnia Ltd.,10.12,4783.8,96,99,82,NA,NA,70.15,40,46.2,61.1,TRANSPORTATION,14.8
NTNX,Nutanix Inc. Cl A,69.8,18914.3,89,98,92,NA,NA,70.15,48.8,68.3,-10.7,SOFTWARE,37460.2
AYA,Aya Gold & Silver Inc.,28.46,4151.2,97,97,83,NA,NA,70.1,43.2,101.6,155.2,MINING,13.8
TK,Teekay Corp. Ltd.,14.71,1286.4,93,97,88,NA,NA,70.1,23.5,28.7,69.7,TRANSPORTATION,13.7
FA,First Advantage Corp.,20.72,3617.1,93,96,89,NA,NA,70.05,28.9,94.6,32.3,BUSINS SVC,-2.7
MATX,Matson Inc.,232.92,7019.8,95,98,84,NA,NA,70.05,21.8,49.2,116.6,TRANSPORTATION,16.4
HSHP,Himalaya Shipping Ltd.,19.23,911.3,97,99,80,NA,NA,70,38.7,46.9,119.5,TRANSPORTATION,11.2
ZBRA,Zebra Technologies Corp. Cl A,346.63,16455.1,91,97,90,NA,NA,70,46.9,67,7.4,BUSINS SVC,11.7
KARO,Karooooo Ltd.,66.67,2122.7,92,99,86,NA,NA,69.95,40.9,41.3,18.5,SOFTWARE,30
SAFT,Safety Insurance Group Inc.,103.51,1519.9,94,96,87,NA,NA,69.9,46.8,43.6,42.6,INSURANCE,11.5
NSIT,Insight Enterprises Inc.,154.91,4538.8,95,94,88,NA,NA,69.85,42.9,110.4,28.9,BUSINS SVC,9.2
SIMO,Silicon Motion Technology Corp. ADR,272.11,8588.8,85,96,98,NA,NA,69.85,-15.4,117,197.8,COMPUTER,15.3
DT,Dynatrace Inc.,55.14,16135,88,99,90,NA,NA,69.75,33.1,37,13.5,SOFTWARE,6.2
EQNR,Equinor ASA ADR,44.09,105657.7,94,97,85,NA,NA,69.75,36.2,14.4,79.4,ENERGY,12.2
SB,Safe Bulkers Inc.,9.18,917.5,96,99,80,NA,NA,69.75,37,46.6,98.7,TRANSPORTATION,4.6
CRSR,Corsair Gaming Inc.,13.38,1461.5,97,97,81,NA,NA,69.7,49.5,150.1,54,COMPUTER,-2
RGA,Reinsurance Group of America Inc.,245.68,16049.2,86,96,96,NA,NA,69.7,16.7,21,30.3,INSURANCE,9.7
MLAB,Mesa Laboratories Inc.,126.54,711.5,95,94,87,NA,NA,69.65,33.1,57.5,82.9,MEDICAL,3.9
SMPNY,Sompo Holdings Inc. ADR,21.85,41410.9,85,96,97,NA,NA,69.65,10.2,16.2,37.6,INSURANCE,14
SU,Suncor Energy Inc.,69.41,81376.1,90,95,92,NA,NA,69.65,25.4,12,62.5,ENERGY,13.3
LGND,Ligand Pharmaceuticals Inc.,283.49,5675.7,90,94,93,NA,NA,69.6,3.1,35.3,66.9,MEDICAL,13.5
PSX,Phillips 66,273.13,109415.5,98,98,78,NA,NA,69.6,64.4,58.1,107.9,ENERGY,15.6
ANF,Abercrombie & Fitch Co.,135.76,5881.4,95,92,89,NA,NA,69.55,55.6,57.9,51,RETAIL,37
ARIS,Aris Mining Corp.,19.4,3910.6,84,95,99,NA,NA,69.55,16.7,9.9,111.1,MINING,7
PARR,Par Pacific Holdings Inc.,84.37,4333.1,98,97,79,NA,NA,69.55,65.8,50.6,136.8,ENERGY,27.3
TMP,Tompkins Financial Corp.,99.34,1410.2,86,95,96,NA,NA,69.45,11.2,35,39.7,BANKS,19.5
DSEEY,Daiwa Securities Group Inc. ADR,11.76,15901.3,89,99,87,NA,NA,69.4,16.1,24.3,44.6,FINANCE,10.5
FNV,Franco-Nevada Corp.,265.93,51504.3,82,98,97,NA,NA,69.4,21.3,9.3,31.3,MINING,16.3
PAY,Paymentus Holdings Inc.,35.04,4550.2,84,96,97,NA,NA,69.4,66.3,41.1,1.4,FINANCE,12.8
CARE,Carter Bankshares Inc.,30.79,675.3,85,94,98,NA,NA,69.35,-0.5,57,52.8,BANKS,7.7
FIVE,Five Below Inc.,234.14,13036.8,88,91,98,NA,NA,69.35,20.7,10.2,50.6,RETAIL,17.9
ING,ING Groep N.V. ADR,36.4,103455.4,90,97,88,NA,NA,69.35,16.1,41.4,43.8,BANKS,12.9
LFST,LifeStance Health Group Inc.,12.57,4819,98,93,83,NA,NA,69.35,40,96.1,134.1,MEDICAL,0.7
MTCH,Match Group Inc.,43.2,10047.4,86,97,93,NA,NA,69.35,21.9,40.4,12,INTERNET,0
TRMD,Torm PLC,38.23,3780.7,96,99,78,NA,NA,69.35,30,48.4,64.7,TRANSPORTATION,13.3
TWIN,Twin Disc Inc.,24.88,359.1,95,96,83,NA,NA,69.35,13.8,64.6,84.8,TRANSPORTATION,14.1
SEIC,SEI Investments Co.,105.2,12584,86,96,94,NA,NA,69.3,17.6,35.6,22,FINANCE,30.4
CNXN,PC Connection Inc.,86.68,2182.1,92,97,85,NA,NA,69.25,22.8,53.5,36.9,BUSINS SVC,9.2
PRLB,Proto Labs Inc.,87.75,2067.3,92,93,90,NA,NA,69.25,8.3,55.9,72.4,MACHINE,3.2
AUGO,Aura Minerals Inc.,88.25,7432.9,95,97,81,NA,NA,69.2,38.9,22,184.8,MINING,-32.5
ETON,Eton Pharmaceuticals Inc.,55.5,1631.2,99,93,81,NA,NA,69.2,70.9,191.8,200.7,MEDICAL,-18.2
MUFG,Mitsubishi UFJ Financial Group Inc. ADR,23.13,262202.1,90,94,91,NA,NA,69.2,9.7,38.3,48.1,BANKS,11.6
ASAIY,Sendas Distribuidora S.A. ADR,9.92,2681.4,87,92,97,NA,NA,69.15,33.7,33.2,1.8,RETAIL,9.5
CFFN,Capitol Federal Financial Inc.,8.9,1109.9,84,98,93,NA,NA,69.1,10.1,28.2,36.3,BANKS,6.5
SENEB,Seneca Foods Corp. Cl B,188.22,1245.5,93,85,98,NA,NA,69.1,18.8,36.8,71.1,FOOD/BEV,16.5
TSM,Taiwan Semiconductor Manufacturing Co. Ltd. ADR,434.67,1972429.9,82,96,98,NA,NA,69.1,-5.9,28,61.8,CHIPS,36.4
WKC,World Kinect Corp.,35.95,1832.8,90,92,93,NA,NA,69.1,15.5,57.9,33.5,ENERGY,-37.8
HMY,Harmony Gold Mining Co. Ltd. ADR,19.92,12662.4,81,96,99,NA,NA,69.05,17.1,36.8,33.2,MINING,47.6
NTOIY,Neste Oyj ADR,19.9,30264.5,95,94,84,NA,NA,69.05,30.8,20.2,105.9,ENERGY,2
CHMG,Chemung Financial Corp.,82.97,398.6,92,96,85,NA,NA,69,16.9,61.9,54.2,BANKS,6.4
QUAD,Quad/Graphics Inc.,9.43,493.9,93,87,95,NA,NA,69,23.8,47.1,40.3,MEDIA,30.3
VBNK,VersaBank,22.79,755.6,94,98,80,NA,NA,69,17.9,67.2,79,BANKS,6.1
CAC,Camden National Corp.,57.55,971.2,85,98,91,NA,NA,68.95,11.8,27.5,38.6,BANKS,10.6
DV,DoubleVerify Holdings Inc.,13.46,2087.7,85,94,96,NA,NA,68.95,30.3,34.7,5.3,BUSINS SVC,4.6
FFIV,F5 Inc.,432.03,24611.3,89,98,86,NA,NA,68.95,12.1,53.1,30.2,INTERNET,20.6
LTH,Life Time Group Holdings Inc.,40.75,9132.9,92,87,96,NA,NA,68.95,10.4,58.2,44.2,LEISURE,13
RELY,Remitly Global Inc.,21.93,4599.9,86,93,96,NA,NA,68.95,3.9,41.2,26.7,FINANCE,8.9
USCB,USCB Financial Holdings Inc.,23.13,428.4,87,96,91,NA,NA,68.95,20.8,30.2,32.9,BANKS,12.1
VRNS,Varonis Systems Inc.,47.56,5491.5,88,94,92,NA,NA,68.9,42.5,94.3,-17.3,SOFTWARE,-24.5
MFG,Mizuho Financial Group Inc. ADR,10.94,133851.3,90,95,88,NA,NA,68.85,6.2,41.3,66.3,BANKS,11.8
AAPL,Apple Inc.,336.13,4918238.5,85,99,89,NA,NA,68.8,12.8,34.5,41.3,TELECOM,171.4
OII,Oceaneering International Inc.,46.29,4598.3,95,89,89,NA,NA,68.8,28.4,36.7,87.8,ENERGY,39.6
SMBK,SmartFinancial Inc.,51.69,888.3,89,95,89,NA,NA,68.8,15.8,37.5,36.6,BANKS,9.6
JXN,Jackson Financial Inc.,132.67,8762.7,89,94,90,NA,NA,68.75,24.2,28.6,33.2,INSURANCE,0.3
PD,PagerDuty Inc.,14,1135.7,85,97,91,NA,NA,68.7,65.1,100.9,-14.8,SOFTWARE,90.7
SKWD,Skyward Specialty Insurance Group Inc.,56.31,2512.8,82,96,96,NA,NA,68.7,11.4,31.5,17.6,INSURANCE,18.9
STNG,Scorpio Tankers Inc.,87.16,4399.6,88,98,86,NA,NA,68.7,8.2,27.1,46,TRANSPORTATION,11.4
VEEV,Veeva Systems Inc. Cl A,260.21,42703.5,84,98,91,NA,NA,68.7,69.7,41.4,-6.8,SOFTWARE,13.9
CF,CF Industries Holdings Inc.,127.7,20252.1,86,95,92,NA,NA,68.65,24.1,0.8,51.8,AGRICULTURE,29.6
FBIZ,First Business Financial Services Inc.,70.8,598.3,89,96,87,NA,NA,68.65,17.3,37.2,34.4,BANKS,14.1
SMFG,Sumitomo Mitsui Financial Group Inc. ADR,26.24,167392.9,87,94,92,NA,NA,68.65,4,35.5,56.9,BANKS,10.6
WEX,WEX Inc.,193.57,6652,88,97,87,NA,NA,68.65,51.8,30,15,FINANCE,22.3
AU,AngloGold Ashanti PLC,103.29,51692.6,82,94,98,NA,NA,68.6,13.7,11.8,59.9,MINING,35.8
STT,State Street Corp.,182.87,50289.7,88,92,93,NA,NA,68.6,8.7,51,61.5,FINANCE,11.1
AMRX,Amneal Pharmaceuticals Inc.,18.71,5837.8,93,94,84,NA,NA,68.55,15.4,51,90.7,MEDICAL,0
FIVN,Five9 Inc.,32.47,2578,95,96,79,NA,NA,68.55,67.4,107.6,22.2,SOFTWARE,5.6
PLTR,Palantir Technologies Inc.,177.64,423515.1,76,99,99,NA,NA,68.55,38.3,16.3,0.4,SOFTWARE,26.2
SMCI,Super Micro Computer Inc.,39.09,26508.6,78,97,99,NA,NA,68.55,27.5,28.8,-14.9,COMPUTER,21.3
ALRS,Alerus Financial Corp.,32.75,817.1,87,94,91,NA,NA,68.45,10.3,40.9,39.8,BANKS,3.3
BBVA,Banco Bilbao Vizcaya Argentaria S.A. ADR,28.36,160747.3,89,96,86,NA,NA,68.45,15.8,36.5,48.3,BANKS,18.3
DGII,Digi International Inc.,72.13,2757.3,88,92,92,NA,NA,68.4,4.4,45.3,89.3,COMPUTER,6.7
ESTC,Elastic N.V.,86.96,9341.1,86,94,92,NA,NA,68.4,47.5,56,-3,SOFTWARE,33.4
CNO,CNO Financial Group Inc.,55.21,5141.4,85,93,94,NA,NA,68.3,8.6,37.4,39.5,INSURANCE,8.9
NVDA,NVIDIA Corp.,222.27,5286094,77,97,99,NA,NA,68.3,5.5,23.2,26.1,CHIPS,101.5
PLMR,Palomar Holdings Inc.,136,3615,80,98,94,NA,NA,68.3,21.8,16,15.5,INSURANCE,23.6
WXXWY,Wuxi Biologics (Cayman) Inc. ADR,12.79,26538.6,95,99,74,NA,NA,68.3,63.6,45.2,27.9,MEDICAL,10.9
YAHOY,LY Corp. ADR,6.83,24002.7,86,96,89,NA,NA,68.3,33.1,35.5,0.5,RETAIL,6.6
HAE,Haemonetics Corp.,108.4,4895.5,96,97,75,NA,NA,68.25,46.2,82.1,111.9,MEDICAL,12
ACNB,ACNB Corp.,64.57,651.5,88,96,86,NA,NA,68.2,12.8,42.6,40.3,BANKS,10.2
FRD,Friedman Industries Inc.,41.21,301.4,96,91,82,NA,NA,68.15,10.1,141.6,88,METALS,13.5
APA,APA Corp.,44.87,15927,95,95,78,NA,NA,68.1,35.8,22.6,87.7,ENERGY,25.2
MTLS,Materialise N.V. ADR,7.77,455.4,90,96,83,NA,NA,68.1,15.8,53.6,40.5,MACHINE,3.1
SCCO,Southern Copper Corp.,195.7,165584.2,80,94,98,NA,NA,68.1,2.7,20,89.7,MINING,42.9
SENEA,Seneca Foods Corp. Cl A,184.35,1245.5,90,84,98,NA,NA,68.1,18.3,28,78.2,FOOD/BEV,16.5
DDOG,Datadog Inc. Cl A,229.92,84741.7,83,94,94,NA,NA,68.05,3.1,75.2,68.1,SOFTWARE,3.3
BLFS,BioLife Solutions Inc.,36.69,1802.8,95,93,80,NA,NA,68,40.9,91.9,39.6,MEDICAL,-3.4
BNY,Bank of New York Mellon Corp.,153.79,103824.7,83,92,96,NA,NA,67.95,7.1,34.1,41.7,BANKS,13
FTI,TechnipFMC PLC,72.02,28526,85,90,96,NA,NA,67.95,10.5,10.6,83.6,ENERGY,29.9
GEO,GEO Group Inc.,31.76,4230.3,92,91,86,NA,NA,67.95,8.5,89.7,44.5,BUSINS SVC,17.9
PKBK,Parke Bancorp Inc.,33.87,402.7,84,95,91,NA,NA,67.95,6.3,25.2,50.3,BANKS,12.1
STGW,Stagwell Inc. Cl A,8.12,2031.6,91,88,91,NA,NA,67.95,21,32,53.2,BUSINS SVC,5.3
CPAY,Corpay Inc.,397.76,26543.6,83,95,92,NA,NA,67.9,15.2,39.1,30.3,FINANCE,30.5
CRM,Salesforce Inc.,237.92,199865.6,76,97,98,NA,NA,67.85,56.8,22.4,-2.6,SOFTWARE,12.4
EMBJ,Embraer S/A ADR,75.07,13399.8,88,89,93,NA,NA,67.85,23.7,27.4,31,AEROSPACE/DEFENSE,10.7
HRMY,Harmony Biosciences Holdings Inc.,42.02,2489,87,98,83,NA,NA,67.85,26.3,50.9,28.8,MEDICAL,20.8
OPY,Oppenheimer Holdings Inc. Cl A,115.17,1212.5,88,93,88,NA,NA,67.85,7.4,37.8,44.2,FINANCE,16.2
DDI,DoubleDown Interactive Co. Ltd. ADR,12.75,631.8,85,95,89,NA,NA,67.8,12.4,47.2,34.8,SOFTWARE,11.1
GRMN,Garmin Ltd.,274.06,53101.9,83,93,94,NA,NA,67.8,17,18.3,15.5,CONSUMER,19.8
DOCU,DocuSign Inc.,69.07,13202.8,81,98,90,NA,NA,67.75,58.9,41.2,-18.8,SOFTWARE,15.8
KMDA,Kamada Ltd.,8.85,500.9,81,98,90,NA,NA,67.75,21.1,3,27.2,MEDICAL,7.6
IDT,IDT Corp. Cl B,69.84,1717.2,89,93,86,NA,NA,67.7,26,47.8,2.8,TELECOM,27.6
VIRT,Virtu Financial Inc.,57.75,8886.8,82,92,96,NA,NA,67.7,-8.4,44.8,64,FINANCE,30.9
HSBC,HSBC Holdings PLC ADR,101.83,352133.8,85,92,92,NA,NA,67.65,7.2,27.4,46.5,BANKS,12.3
ITIC,Investors Title Co.,289,558.8,81,96,92,NA,NA,67.65,11.9,31.3,12,INSURANCE,13.5
PBF,PBF Energy Inc.,77.19,9146.3,99,94,72,NA,NA,67.65,107,63.9,151.8,ENERGY,-2.9
FET,Forum Energy Technologies Inc.,82.08,944.1,98,86,83,NA,NA,67.6,59.3,45,199.8,ENERGY,-3.2
NEO,NeoGenomics Inc.,19.91,2555.4,99,97,68,NA,NA,67.6,78.9,148.6,131,MEDICAL,-12.4
RGLD,Royal Gold Inc.,249.65,21304.8,76,96,98,NA,NA,67.6,16.2,2.9,32.8,MINING,9.1
WHD,Cactus Inc. Cl A,66.68,5392.9,92,91,84,NA,NA,67.55,21.9,44.1,61.8,ENERGY,14.5
RBRK,Rubrik Inc. Cl A,106.71,22353.6,93,97,75,NA,NA,67.5,52,104.9,36.8,SOFTWARE,0
BWIN,Baldwin Insurance Group Inc.,31.93,4333.1,91,94,81,NA,NA,67.45,57.8,51.1,1.4,INSURANCE,-5.7
EAT,Brinker International Inc.,196.71,8334.6,92,85,91,NA,NA,67.45,19.3,40.5,41.7,RETAIL,119.6
HURN,Huron Consulting Group Inc.,158.33,2504.9,80,97,91,NA,NA,67.45,74.8,26.2,10.2,BUSINS SVC,19.3
SFL,SFL Corp. Ltd.,13.63,2068.5,93,96,76,NA,NA,67.45,26.1,33.6,69.1,TRANSPORTATION,-2.5
BGC,BGC Group Inc. Cl A,12.22,5700.8,78,98,92,NA,NA,67.4,1.4,27.6,24.1,FINANCE,16.6
DSX,Diana Shipping Inc.,3.11,382,95,97,72,NA,NA,67.4,48.1,26.4,63.7,TRANSPORTATION,3.5
SUN,Sunoco L.P.,77.87,16142.2,91,97,77,NA,NA,67.4,22.6,17.8,55,ENERGY,5.6
AIZ,Assurant Inc.,282.23,13998.6,83,92,93,NA,NA,67.35,8.6,33.1,35,INSURANCE,15.9
DBSDY,DBS Group Holdings Ltd. ADR,239.85,171415.1,92,95,78,NA,NA,67.35,17.1,32.9,50.1,BANKS,16.3
NIC,Nicolet Bankshares Inc.,168.02,3518.6,81,94,93,NA,NA,67.35,14.4,19.7,23,BANKS,12.4
NWG,NatWest Group PLC ADR,18.67,75538.7,80,95,93,NA,NA,67.35,11.3,22.1,30.3,BANKS,15.4
OBT,Orange County Bancorp Inc.,38.49,511.6,85,98,83,NA,NA,67.35,3.4,25.1,44,BANKS,17.7
