#,Symbol,Name,Company Description,Days Vol Short 2 Periods Ago,Days Vol Short 1 Period Ago,Days Vol Short Current,Pr Wk High($),Index % Chg 5 Days,% New Lows in Group,# New Lows in Group,# New Highs in Group,Ind Mkt Val (bil),Short Volume,Ex-Dividend Date,Expected X Dividend Amount,A/D Rating - Pr Wk,IBD Big Cap 20,IBD 85-85 Index,IBD New America,IBD 50,Liab to Assets Lss Ind Median,LT Debt to Working Cap,EV to FCF,Yield %,Current Ratio,Price to CF,Dividend-Adjusted PEG,PEG,P/E Percent Rank,P/E vs S&P 500 P/E (%),Forward P/E,Pre-tax Margins,50 Day ATR %,30 Day ATR %,Avg Sales % Chg 6Q,Avg Sales % Chg 5Q,Avg Sales % Chg 4Q,Sales Growth 5 Yr,Sales Growth 3 Yr,Sales Accel 3 Qtrs,EPS Lst Yr Gtr EPS 4 Yrs Ago,Avg EPS % Chg 6Q,Avg EPS % Chg 3Q,Avg EPS % Chg 4Q,Avg EPS % Chg 5Q,EPS % Growth 5 Yr Pct Rnk,EPS % Growth 5 Yr,EPS % Growth 3 Yr,EPS % Growth 1 Yr,Sustainable Growth %,EPS Accel 3 Qtrs,RS Line New Low,% Chg YTD,Current Price,Industry Name,State,% New Highs in Group,Ind Grp Rnk 6 Mo Ago,3-Yr EPS Growth Geq 5-Yr,Avg True Range,Debt %,Sales Accel 2 Qtrs,Number of Stocks,P/E,Shrt Int % Chg,Shrt Int % of Float,52-Wk Low,52-Wk High,Ind Grp Rnk 3 Mo Ago,Ind Grp Rnk Last Week,Trl 26 Wk % Perf vs S&P 500,EPS Trailing 4 Qtrs,EPS Trl 4Q Gtr EPS 4 Yrs Ago,Earnings Stability,Price % Chg,% Off High,RS Rating,RS 3-Month Rating,Comp Rating,Beta,50-Day Avg $ Vol (1000s),Market Cap (mil),21 Day ATR %,Shares (1000s),Price vs 200-Day,Vol % Chg vs 50-Day,% Chg 1 Month,% Chg 3 Months,Ind Group RS,% Chg 6 Months,SMR Rating,EPS Rating,Ind Group Rank,A/D Rating,EPS Surprise,EPS Est Cur Yr %,EPS Est Next Yr %,Price vs 50-Day,Price vs 10-Day,Price vs 21-Day,P/E Ratio Rank in Grp,Annual Sales (mil),EPS % Chg 1 Yr Ago,Sales % Chg Lst Qtr,EPS % Chg Lst Yr,EPS Lst Rptd,Avg Sales % Chg 2Q,50-Day Avg Vol (1000s),10 Day > 21 Day > 50 Day,Price $ Chg,EPS Est Cur Qtr %,Volume (1000s),IPO Date,ETF/Closed-End Fund,Number of Funds,Incorp Date,ADR,ETF,AT Margin Accel,Price to Sales,Daily Closing Range,RS Line Within 5% of New High,EPS % Chg Last Qtr,Up/Down Vol,EPS % Chg 1 Q Ago,Sales % Chg Lst Yr,Exchange,RS Line New High,RS 6-Month Rating,50-Day > 150-Day > 200-Day,Price to Book,P/E Lss 5-Yr Avg,Weekly Closing Range,Shares in Float (1000s),EPS % Chg 2 Q Ago,EPS % Chg 3 Q Ago,Avg EPS % Chg 2Q,Avg Sales % Chg 3Q,EPS Trl 4Q Geq EPS Lst Fiscal Yr,EPS % Chg Lst Q Gtr 3-Yr Growth,Price vs 150-Day,Funds % Increase,Sector,% Chg Cur Week,City,New CEO 12 Months,Funds %,Enterprise Val (mil),Current day's Volume greater than previous 5 days' Volume,Current day's Volume greater than previous 10 days' Volume,Current day's Volume greater than previous 20 days' Volume,% Chg 12 Months,Vol % Chg vs 10-Week,EPS Due Date,ROE,AT Margin,timestamp,symbol,C_Score,A_Score,N_Score,S_Score,L_Score,I_Score,M_Score,CANSLIM_Score,Momentum_Score,Quality_Score,EPS_Accel,Sales_Accel,Setup_Type
4974,PBF,PBF Energy Inc.,NA,4.7,4.9,4.5,74.74,17.3,0,0,2,387.8,12592154,08/14/2026,0.28,A-,No,No,No,No,Yes,2.31,-13.8,1.8,1.33,-110.6,0,0,38,24.55,5,-0.8,6.08,6.39,NA,8.4,14.1,1,-10,Yes,No,67.3,297.6,239.5,173.5,15,-,-,-,-2,No,No,166.5,72.28,Oil&Gas-Refining/Mktg,NA,7.4,49,No,3.39,36.3,Yes,27,14,-7.9,12.6,0,74.74,18,3,113,5.31,No,0,-1.12,-3.29,99,99,96,0.83,142220,8648.3,6.52,118308.5,85.9,7,58.8,66.7,NA,116,NA,73,1,A+,49.9,430,-30,52.6,16.3,27.5,50,29332.3,-134,56,-6,NA,34,2865,Yes,-0.82,1411,3100,NA,No,551,NA,No,No,No,0.25,0,Yes,704,1.5,72,-11,New York Stock Exchange,No,99,Yes,1.34,-,97,100136,117,65,387.7,21.7,Yes,No,76.6,0.5,ENERGY,17.3,NA,No,57,9880.6,No,No,No,219.8,48.1,NA,-2.9,7.8,2026-07-31,PBF,35,15,7,0,15,10,10,92,118,25,TRUE,TRUE,Momentum Leader
4956,PARR,Par Pacific Holdings Inc.,NA,3.8,4.2,4.3,87.03,11.2,0,0,2,387.8,4544332,NA,0,B,No,No,No,No,Yes,1.93,22.4,0,1.62,8.78,0,0,18,36.97,5,6.4,5,5.01,NA,-4.1,-2.2,17,-2,Yes,Yes,1047.7,2160.4,1673.8,1291.8,18,-,-,-,27,No,No,144.8,86.03,Oil&Gas-Refining/Mktg,NA,7.4,49,No,3.31,82.4,Yes,27,9,3,9.4,0,87.03,18,3,129,9.44,Yes,0,0.14,-1.15,98,99,97,0.79,60357,4307.9,5.28,50144.3,69.2,-10.7,53.4,31,NA,128,NA,77,1,A,-21.6,120,-36,38.1,9.7,20.6,72,7464.6,-95,5,1943,NA,1.7,959,Yes,0.12,434,857,NA,No,522,NA,No,No,No,0.57,0,Yes,183,1.8,248,-6,New York Stock Exchange,Yes,99,Yes,2.8,-,99,48560,6050,214,215.5,-0.9,Yes,No,58.9,5.2,ENERGY,11.2,NA,No,66,5391.7,No,No,No,174.2,14.1,NA,27.3,3,2026-07-31,PARR,25,15,10,0,15,10,10,85,113,35,FALSE,FALSE,Momentum Leader
4532,MYE,Myers Industries Inc.,NA,4.3,2.9,2.3,36,8.7,5,1,0,137.1,974632,06/17/2026,0,C,No,Yes,No,No,Yes,2.81,12.5,1.7,1.61,14.79,0,0,65,137.19,18,5.5,4.23,4.52,NA,-7.9,-8.7,1,-2,No,Yes,37.1,78,59.5,43.5,11,0,-5,63,8,No,No,82.5,34.16,Containers/Packaging,NA,0,78,No,1.4,95.6,Yes,20,22,-20.2,2.6,0,36,117,38,54,1.54,Yes,22,3.61,-5.11,98,97,95,0.92,13487,1238.3,4.1,37557.3,50.2,23.1,-3.3,65.7,NA,65.3,NA,87,51,B+,47.2,69,8,18.1,4.4,4.7,39,825.7,-25,-14,6,NA,-17.4,465,Yes,1.19,73,589,NA,No,281,NA,No,No,Yes,1.7,0,Yes,71,1.4,100,-1,New York Stock Exchange,No,99,Yes,4.19,-,95,37012,63,4,85.5,-11.6,Yes,Yes,41.1,1.4,MISC,8.7,NA,No,57,1568.9,No,No,No,133.2,50,NA,12.2,10.5,2026-07-31,MYE,20,15,7,5,15,10,10,82,116.66666666666667,30,FALSE,FALSE,Momentum Leader
3911,ATLC,Atlanticus Holdings Corp.,NA,4.2,2.9,3,108,6,0,0,1,118.2,448662,NA,0,C,No,Yes,No,No,No,27.78,8.3,0,1.59,3.17,0,0,45,60.7,10,8.1,6.03,6.16,NA,57.9,67.7,25,24,No,No,34.6,29.8,35.5,35.7,4,-5,16,32,20,Yes,No,57.6,105.49,Finance-Consumer Loans,NA,4.8,91,Yes,6.19,967.8,No,21,15,5.3,4.7,0,112.61,108,55,103,6.97,No,22,-0.53,-6.32,97,94,99,1.67,16519,1603.3,5.84,15118,53.8,-24.4,3.2,32.8,NA,104.3,NA,92,47,A,32.1,60,37,12.7,5.9,7,41,1968.4,13,97,25,NA,102.5,172,Yes,-0.56,60,127,NA,No,230,NA,No,No,No,0.69,0,No,50,1.7,23,50,NASDAQ,No,97,Yes,2.45,-,98,9486.3,17,53,36.5,82,Yes,Yes,45.9,1.8,FINANCE,6,NA,No,21,7378.5,No,No,No,112.6,-15.4,NA,20.7,6.5,2026-07-31,ATLC,25,12,5,0,15,10,10,77,111.66666666666667,35,TRUE,TRUE,Momentum Leader
4727,NTAP,NetApp Inc.,NA,5.7,4.6,3.7,179.81,6.4,0,0,0,2988.5,12870550,07/10/2026,0,B,Yes,Yes,No,Yes,No,2.09,11.1,1.2,1.41,17.36,1.54,1.68,64,107.53,20,23.8,5.18,4.36,NA,4.9,5.2,2,3,Yes,Yes,8.6,15.5,11.5,10.6,11,13,13,12,79,Yes,No,66.7,178.5,Computer-Hardware/Perip,NA,0,1,Yes,7.11,199.2,Yes,38,22,-20.9,6.6,0,192.83,2,12,70,8.15,Yes,4,2.6,-7.43,97,97,99,1.12,542927,34140.8,4.5,196234.3,44.5,-43.6,15.3,61.1,NA,85.3,NA,85,15,A+,7,40,11,9.3,4.4,5.3,50,6925,12,12,-12,NA,8.4,3445,Yes,4.52,36,1830,NA,No,2636,NA,No,No,Yes,5.06,0,Yes,26,1.1,11,5,NASDAQ,No,98,Yes,25.9,-,100,195206.5,10,-1,18.5,6.6,Yes,Yes,42,2.3,COMPUTER,6.4,NA,No,60,33142.6,No,No,No,71.4,-38.8,NA,106.7,20.7,2026-07-31,NTAP,20,8,7,0,15,10,10,70,114.66666666666667,40,TRUE,FALSE,Momentum Leader
4871,OOMA,Ooma Inc.,NA,3.1,3.4,3.3,22.2,8.6,0,0,0,5053.8,1158352,NA,0,B,No,Yes,No,No,No,-5.56,20.7,0,0.8,22.08,1.14,1.14,56,252.8,17,1.6,4.71,4.38,NA,10.1,11.7,10,8,Yes,Yes,58.9,65.2,62.3,58.4,3,16,26,63,7,Yes,No,85.4,21.75,Telecom-Consumer Prods,NA,0,86,Yes,0.86,61.5,Yes,7,18,-2.6,4.8,0,22.2,52,2,78,1.19,Yes,13,1.45,-2.03,97,95,99,0.79,6925,589.6,4.35,27500,48.6,-5.4,13.2,33.3,NA,85.1,NA,98,37,A+,9.9,26,14,13.2,3.2,5.4,75,273.6,12,25,58,NA,19.7,373,Yes,0.31,44,382,NA,No,223,NA,No,No,No,2.06,0,Yes,75,1.2,62,7,New York Stock Exchange,No,97,Yes,6.24,Yes,98,24019.2,59,53,68.5,14.4,Yes,Yes,38.8,4.2,TELECOM,8.6,NA,No,40,654.7,No,No,No,91.1,56.7,NA,7.2,3.2,2026-07-31,OOMA,25,15,7,0,15,10,10,82,112,15,TRUE,TRUE,Momentum Leader
5259,VLO,Valero Energy Corp.,NA,3.7,3.3,3.5,320.24,3.4,0,0,2,387.8,10973199,07/31/2026,0,A-,Yes,Yes,No,No,Yes,1.02,14.8,1.6,1.64,16.6,1.35,1.61,35,49.86,8,2.4,3.82,3.82,NA,7.8,13.1,2,-6,Yes,Yes,241.6,440.3,385.5,305.2,19,8,-27,358,8,No,No,92.2,312.9,Oil&Gas-Refining/Mktg,NA,7.4,49,No,10.62,41.7,Yes,27,13,5,3.7,0,320.24,18,3,64,24.24,Yes,77,0.77,-2.29,97,95,98,0.65,789278,92556.9,3.83,296932.8,43.6,-17.5,20.1,23.9,NA,72.5,NA,85,1,A,24.1,255,-29,16.2,1.8,6.8,56,122687,-66,49,25,NA,27.9,3005,Yes,2.39,288,2433,NA,No,2669,NA,No,No,Yes,0.67,0,Yes,450,1,374,-5,New York Stock Exchange,No,97,Yes,3.6,-,100,295742.3,497,221,412.1,18.2,Yes,Yes,34.1,5.3,ENERGY,3.4,NA,No,47,96459.9,No,No,No,127.9,-18,NA,9.7,8.3,2026-07-31,VLO,32,15,7,0,15,10,10,89,106.66666666666667,25,TRUE,TRUE,Pullback to 10SMA
3748,AMRX,Amneal Pharmaceuticals Inc.,NA,4.7,4,4.1,19.26,2.2,1.4,1,1,4339.2,8118699,NA,0,A,No,Yes,No,No,Yes,2.58,32.5,0,2.2,17.5,19.28,19.28,58,145.45,18,4.6,3.54,3.48,NA,8,9.2,10,11,No,No,39.3,41.2,32.5,37.2,30,1,11,31,0,No,No,45.4,18.32,Medical - Pharmaceuticals,NA,1.4,24,Yes,0.6,8086.1,Yes,69,19,3.1,5,0,19.26,76,37,24,0.95,Yes,14,-0.97,-4.88,97,94,95,1.04,31884,5907.6,3.44,319331.4,38.1,2.3,5.8,42.3,NA,33.9,NA,85,61,A+,34.8,19,18,17.1,2.2,5.4,30,3018.8,-9,10,43,NA,6.9,2043,Yes,-0.18,34,2012,NA,No,445,NA,No,No,No,1.88,0,No,20,1.5,29,8,NASDAQ,No,95,Yes,-129.95,-,95,163569.6,75,6,24.3,8.4,Yes,Yes,31.5,1.4,MEDICAL,2.2,NA,No,62,8285.8,No,No,No,134.3,-18.1,NA,0,7.2,2026-07-31,AMRX,10,12,5,0,15,10,10,62,110.33333333333333,25,FALSE,FALSE,Momentum Leader
4836,OII,Oceaneering International Inc.,NA,5.4,5.4,6.4,53.98,-7.5,0,0,0,137.4,6556236,NA,0,A+,No,Yes,No,No,Yes,0.94,18,0,2.18,14.82,0,0,71,53.64,24,10.3,4.6,4.97,NA,4,3.9,11,8,Yes,Yes,59.1,6.7,18.2,29.5,22,-,55,12,40,No,No,103,48.78,Oil&Gas-Field Services,NA,0,4,No,2.12,60.8,Yes,30,25,18.8,6.7,0,53.98,13,68,50,1.93,Yes,0,2.39,-9.63,97,97,94,1.17,47409,4741.6,5.12,99529.6,45.2,-43.7,20.4,29.9,NA,62.1,NA,89,108,B,38.3,-4,20,17.7,2.6,9.4,50,2784.2,43,10,69,NA,6.3,1145,Yes,1.14,-2,730,NA,No,543,NA,No,No,No,1.69,0,No,29,1.6,-30,5,New York Stock Exchange,No,97,Yes,4.17,Yes,90,97827.6,22,53,-0.8,2.1,Yes,No,33.5,1.1,ENERGY,-7.5,NA,No,68,4813.4,No,No,No,124.8,9.4,NA,39.6,8.5,2026-07-31,OII,15,0,5,0,15,10,10,55,106,45,TRUE,FALSE,Momentum Leader
4224,LTH,Life Time Group Holdings Inc.,NA,3.2,3.8,3.2,47.23,6.5,1.6,1,1,478.4,10574724,NA,0,B+,No,Yes,No,No,No,-17.33,-82,0,0.66,11.68,0,0,70,95.55,27,16.5,3.5,3.42,NA,12.9,12.7,23,16,No,Yes,102.7,91,102.5,86.6,17,-,87,79,13,No,No,69.7,45.1,Leisure-Services,NA,1.6,122,No,1.4,125.6,Yes,62,25,-15,6.1,0,47.23,122,96,44,1.83,Yes,0,2.04,-4.52,96,98,99,1.35,107045,9839,3.1,222602.7,47.9,71.5,10.4,68.2,NA,54.6,NA,97,74,A,20.5,-6,15,17,2.5,4.8,41,2995.3,100,14,124,NA,12.7,2829,Yes,0.9,-12,4738,NA,No,599,NA,No,No,No,3.15,0,Yes,41,1.5,15,14,New York Stock Exchange,No,98,Yes,3.05,-,95,174013.9,218,137,27.7,12.6,Yes,No,41.4,5.3,LEISURE,6.5,NA,No,67,14134.6,Yes,Yes,Yes,57,47.4,NA,13,11.7,2026-07-31,LTH,20,15,7,7,15,10,10,84,117.66666666666667,25,FALSE,FALSE,Momentum Leader
