Symbol
RNG
PBF
MPC
RCRUY
VLO
CXW
KRT
OKTA
UGP
AYA
DINO
ANF
PARR
ILMN
LPG
PSX
SB
QUAD
TGT
GCBC
HALO
RDVT
FIVN
NSIT
HAE
NMM
RELY
SUTNY
BWLP
TNK
WXXWY
MLAB
ITGR
UTZ
BBVA
DBSDY
KARO
PAYC
TEAM
JXN
DSEEY
FBIZ
ING
NMR
VWDRY
MSADY
RPRX
SBLK
ESTC
CF
INCY
SEIC
KSPI
HAFN
CAIXY
UBS
CNXN
HRMY
RGA
VEEV
DLO
MANH
IBEX
CPAY
YAHOY
APPN
IDT
BGC
BOX
TWFG
DBX
