#,Symbol,Name,Company Description,Days Vol Short 2 Periods Ago,Days Vol Short 1 Period Ago,Days Vol Short Current,Pr Wk High($),Index % Chg 5 Days,% New Lows in Group,# New Lows in Group,# New Highs in Group,Ind Mkt Val (bil),Short Volume,Ex-Dividend Date,Expected X Dividend Amount,A/D Rating - Pr Wk,IBD Big Cap 20,IBD 85-85 Index,IBD New America,IBD 50,Liab to Assets Lss Ind Median,LT Debt to Working Cap,EV to FCF,Yield %,Current Ratio,Price to CF,Dividend-Adjusted PEG,PEG,P/E Percent Rank,P/E vs S&P 500 P/E (%),Forward P/E,Pre-tax Margins,50 Day ATR %,30 Day ATR %,Avg Sales % Chg 6Q,Avg Sales % Chg 5Q,Avg Sales % Chg 4Q,Sales Growth 5 Yr,Sales Growth 3 Yr,Sales Accel 3 Qtrs,EPS Lst Yr Gtr EPS 4 Yrs Ago,Avg EPS % Chg 6Q,Avg EPS % Chg 3Q,Avg EPS % Chg 4Q,Avg EPS % Chg 5Q,EPS % Growth 5 Yr Pct Rnk,EPS % Growth 5 Yr,EPS % Growth 3 Yr,EPS % Growth 1 Yr,Sustainable Growth %,EPS Accel 3 Qtrs,RS Line New Low,% Chg YTD,Current Price,Industry Name,State,% New Highs in Group,Ind Grp Rnk 6 Mo Ago,3-Yr EPS Growth Geq 5-Yr,Avg True Range,Debt %,Sales Accel 2 Qtrs,Number of Stocks,P/E,Shrt Int % Chg,Shrt Int % of Float,52-Wk Low,52-Wk High,Ind Grp Rnk 3 Mo Ago,Ind Grp Rnk Last Week,Trl 26 Wk % Perf vs S&P 500,EPS Trailing 4 Qtrs,EPS Trl 4Q Gtr EPS 4 Yrs Ago,Earnings Stability,Price % Chg,% Off High,RS Rating,RS 3-Month Rating,Comp Rating,Beta,50-Day Avg $ Vol (1000s),Market Cap (mil),21 Day ATR %,Shares (1000s),Price vs 200-Day,Vol % Chg vs 50-Day,% Chg 1 Month,% Chg 3 Months,Ind Group RS,% Chg 6 Months,SMR Rating,EPS Rating,Ind Group Rank,A/D Rating,EPS Surprise,EPS Est Cur Yr %,EPS Est Next Yr %,Price vs 50-Day,Price vs 10-Day,Price vs 21-Day,P/E Ratio Rank in Grp,Annual Sales (mil),EPS % Chg 1 Yr Ago,Sales % Chg Lst Qtr,EPS % Chg Lst Yr,EPS Lst Rptd,Avg Sales % Chg 2Q,50-Day Avg Vol (1000s),10 Day > 21 Day > 50 Day,Price $ Chg,EPS Est Cur Qtr %,Volume (1000s),IPO Date,ETF/Closed-End Fund,Number of Funds,Incorp Date,ADR,ETF,AT Margin Accel,Price to Sales,Daily Closing Range,RS Line Within 5% of New High,EPS % Chg Last Qtr,Up/Down Vol,EPS % Chg 1 Q Ago,Sales % Chg Lst Yr,Exchange,RS Line New High,RS 6-Month Rating,50-Day > 150-Day > 200-Day,Price to Book,P/E Lss 5-Yr Avg,Weekly Closing Range,Shares in Float (1000s),EPS % Chg 2 Q Ago,EPS % Chg 3 Q Ago,Avg EPS % Chg 2Q,Avg Sales % Chg 3Q,EPS Trl 4Q Geq EPS Lst Fiscal Yr,EPS % Chg Lst Q Gtr 3-Yr Growth,Price vs 150-Day,Funds % Increase,Sector,% Chg Cur Week,City,New CEO 12 Months,Funds %,Enterprise Val (mil),Current day's Volume greater than previous 5 days' Volume,Current day's Volume greater than previous 10 days' Volume,Current day's Volume greater than previous 20 days' Volume,% Chg 12 Months,Vol % Chg vs 10-Week,EPS Due Date,ROE,AT Margin,timestamp,symbol,C_Score,A_Score,N_Score,S_Score,L_Score,I_Score,M_Score,CANSLIM_Score,Momentum_Score,Quality_Score,EPS_Accel,Sales_Accel,Setup_Type
4490,XMTR,Xometry Inc. Cl A,NA,4.1,3.8,3.9,102,0,0,0,0,167.5,3538013,NA,0,C,No,No,No,No,No,1.4,-204.4,0,1.78,822.71,3.26,3.26,97,0,117,-8.9,6.52,5.29,NA,27.7,28.9,33,22,Yes,Yes,488.9,372.2,529.2,446.7,7,63,120,404,-21,No,No,65.7,98.54,Elec-Contract Mfg,NA,0,11,No,4.74,89.4,Yes,15,205,0.8,7.1,0,102,4,23,43,0.48,Yes,48,2.2,-3.39,98,95,96,1.7,80793,5326.8,5.12,53770.5,58.5,82.9,10.9,99.5,NA,59.6,NA,83,39,A-,30.3,87,87,11.6,4,5.4,-,686.6,90,36,1050,NA,32.7,951,Yes,2.12,62,1641,NA,No,369,NA,No,No,Yes,7.15,0,Yes,500,1.8,167,26,NASDAQ,Yes,97,Yes,18.25,-,99,49863.6,450,1000,333.3,31,Yes,Yes,52.4,3.9,ELECTRNCS,2.6,NA,Yes,73,5571.9,Yes,Yes,Yes,179.8,-20.3,NA,-20.9,-2.6,2026-07-24,XMTR,32,15,10,7,15,10,10,99,116.33333333333333,20,TRUE,TRUE,Breakout
4235,VCYT,Veracyte Inc.,NA,7.4,8.2,5.4,60.82,0,1.6,1,2,225.3,6717490,NA,0,A-,No,No,No,No,Yes,0.09,14.3,0,9.31,34.95,0.48,0.48,75,203.43,34,13.2,5.55,4.99,NA,17.2,16.9,28,20,Yes,Yes,552.2,339.8,387,639.6,52,62,110,218,5,No,No,40.5,59.13,Medical-Services,NA,3.3,76,No,2.69,2.6,Yes,61,30,-34.4,8.7,0,60.91,108,18,36,2,Yes,59,-0.15,-2.92,96,96,99,1.9,65020,4725.3,5.04,79792.6,45.2,57.3,15.3,74.9,NA,42.2,NA,77,11,A+,55.9,2,4,19.3,2.6,4,46,517.1,130,21,474,NA,20,1315,Yes,-0.09,-3,2010,NA,No,570,NA,No,No,No,8.71,0,Yes,68,1.3,783,16,NASDAQ,No,97,Yes,3.51,-,97,77642,168,529,425.5,17.9,Yes,No,43.5,1.1,MEDICAL,3.8,NA,No,79,4375.2,Yes,Yes,No,144.1,-26.1,NA,5.3,20.6,2026-07-24,VCYT,25,15,7,7,15,10,10,89,117,35,FALSE,TRUE,Momentum Leader
4106,TWLO,Twilio Inc. Cl A,NA,2.1,1.9,1.6,229.22,0,8.7,10,0,4502,4396191,NA,0,A,No,Yes,No,No,Yes,0.38,20.6,0,4.66,32.93,0.64,0.64,83,1224.88,36,1.1,5.33,5.33,NA,14.9,15.6,17,10,No,Yes,30.4,29,31,33.3,90,61,100,30,0,No,No,45.4,206.78,Comp Sftwr - Enterprise,NA,0,136,No,11.07,13.3,Yes,115,39,-19.6,2.9,0,238.48,114,124,64,5.27,Yes,31,0.04,-13.29,96,89,91,1.67,504674,31371.7,5.08,151773.9,42.8,-3.6,9.9,47.6,NA,73.7,NA,95,108,B,18,17,16,2.3,-3.1,2.1,21,5067.2,50,20,33,NA,17.2,2499,Yes,0.08,11,2414,NA,No,1822,NA,No,No,No,5.92,0,No,32,1.1,33,14,New York Stock Exchange,No,89,Yes,4.04,Yes,92,151228.4,23,37,32.3,16.3,Yes,No,34.6,4.8,SOFTWARE,-3.6,NA,No,59,30717.3,Yes,Yes,No,63.6,-22.8,NA,0.4,6.4,2026-07-24,TWLO,20,12,5,0,15,10,10,72,104,40,TRUE,FALSE,Momentum Leader
3560,SEZL,Sezzle Inc.,NA,7,6.5,6.2,195.71,0,0,0,0,1787.8,4210690,NA,0,A,No,Yes,No,Yes,Yes,0.52,9.3,0,3.65,29.74,0.55,0.55,85,157.08,33,36.2,7.97,7.67,NA,65.6,51.1,42,62,No,Yes,204.7,51.4,61.3,109.5,35,79,378,56,103,No,No,175.2,174.67,Finance-CrdtCard/PmtPr,NA,0,129,No,11.7,73.7,No,41,43,-4.7,25.1,0,195.71,119,74,152,4.04,Yes,65,-3.2,-10.75,95,94,99,2.81,94221,6067.7,7.61,33627,103.5,3.7,19,116.4,NA,155,NA,97,54,B+,18.7,43,28,29,-1.6,3.4,11,450.3,747,29,95,NA,30.7,711,Yes,-5.77,49,728,NA,No,351,NA,No,No,No,12.21,0,No,43,2.1,65,66,NASDAQ,No,97,Yes,29.83,Yes,89,16767.6,46,91,54.2,42.8,Yes,No,90.3,9,FINANCE,-2.6,NA,No,45,6408.7,No,No,No,24.3,10.6,NA,103.3,-63.7,2026-07-24,SEZL,22,15,5,0,15,10,10,77,116,45,FALSE,FALSE,Pullback to 10SMA
4275,VLO,Valero Energy Corp.,NA,2.6,3.7,3.3,309.9,0,3.7,1,11,372.5,10378936,05/21/2026,0,A,No,Yes,No,No,Yes,1.1,14.8,1.7,1.58,16.42,2.28,2.77,64,84.07,9,2.4,3.8,3.93,NA,-2.9,-2.4,5,-10,Yes,Yes,152.9,364,269.1,199.9,18,8,-41,192,6,No,No,90.2,309.65,Oil&Gas-Refining/Mktg,NA,40.7,80,No,10.31,43.8,Yes,27,22,-9.4,3.5,0,309.9,48,7,54,13.98,Yes,77,3.13,-0.08,95,98,98,0.66,783456,89157,3.83,296932.8,47,-11.8,29.1,38.5,NA,68.8,NA,86,2,A+,33.5,199,-31,20.4,9.1,16.1,24,122687,-66,7,25,NA,2.9,3140,Yes,9.39,344,2641,NA,No,2644,NA,No,No,Yes,0.74,0,Yes,374,1,497,-5,New York Stock Exchange,Yes,97,Yes,3.85,-,102,295742,221,-16,435.5,1.2,Yes,Yes,38.2,4.7,ENERGY,10.3,NA,No,48,93888.4,No,No,No,114,15.3,NA,9.7,3.9,2026-07-24,VLO,25,15,10,0,15,10,10,85,112,25,TRUE,FALSE,Momentum Leader
3131,PNTG,Pennant Group Inc.,NA,2.5,2.6,2.8,42.47,0,0,0,1,32.3,780224,NA,0,A,No,Yes,No,No,No,19.87,38.8,0,1.19,30.68,1.71,1.71,79,187.86,30,4.8,4.85,4.55,NA,35.9,36.5,19,28,No,Yes,22,25.2,22,24.6,4,20,27,23,9,No,No,49,41.95,Medical - Home & Nursing Care,NA,11.1,15,Yes,1.61,120.6,No,9,34,9.5,2.4,0,42.47,58,39,31,1.23,Yes,17,0.58,-1.22,94,98,99,1.02,10821,1450.2,4.54,34767.6,37.5,-14.9,21.3,36.5,NA,43.9,NA,94,12,A+,3.6,15,18,19.1,5,12,-,947.7,29,36,26,NA,44.6,313,Yes,0.24,23,260,NA,No,319,NA,No,No,No,1.43,0,Yes,19,2,42,36,NASDAQ,Yes,96,Yes,4.21,-,99,33022.7,15,13,30.1,38.6,Yes,No,30.6,0.6,MEDICAL,3.6,NA,No,48,1835.9,No,No,No,75.4,-26.8,NA,9.5,3,2026-07-24,PNTG,17,12,10,0,12,10,10,71,112,20,FALSE,FALSE,Momentum Leader
3310,RCRUY,Recruit Holdings Co. Ltd. ADR,NA,0,0,0,16.5,0,4,1,5,137.1,0,03/31/2026,0,A+,No,No,No,No,No,0.27,12.4,0.1,1.78,25.68,2.44,2.47,79,129.89,0,17.7,2.26,1.92,NA,4,5.1,0,-1,Yes,Yes,41.9,34.8,34,47.5,9,14,21,31,31,Yes,No,41.4,15.96,Comml Svcs-Staffing,NA,20,74,Yes,0.27,9,Yes,25,35,0,0,0,16.5,117,2,28,0.46,Yes,15,0.25,-3.27,94,99,99,0.25,8582,105423,1.96,7362520.5,49.8,58.3,21.6,67.4,NA,37.2,NA,96,1,A+,0,0,0,22.5,4.9,10.4,7,24535.8,11,8,24,NA,6.1,647,Yes,0.04,0,895,NA,No,12,NA,Yes,No,No,4.79,0,Yes,55,1.9,29,5,US OTC,Yes,98,Yes,11.2,-,97,0,20,32,42.3,5.2,Yes,Yes,48,-7.7,BUSINS SVC,5.5,NA,No,0,104941.9,No,No,No,47.2,130.1,NA,31.8,10.6,2026-07-24,RCRUY,20,12,10,5,12,0,10,69,117.33333333333333,55,TRUE,FALSE,Breakout
3206,PSX,Phillips 66,NA,2.7,3.3,3.1,207.14,0,3.7,1,11,372.5,8062970,08/18/2026,1.27,C,No,No,No,No,Yes,5.95,811.7,2.7,1.13,17.01,5.6,13.16,71,77.07,9,4.1,3.18,3.17,NA,-3.6,-0.6,8,-7,Yes,Yes,279.2,641.5,481.9,356.1,13,2,-43,160,6,No,No,60.3,206.86,Oil&Gas-Refining/Mktg,NA,40.7,80,No,5.7,65.5,Yes,27,26,-4.8,2,0,207.14,48,7,35,7.86,No,69,2.75,-0.14,93,97,96,0.69,449664,80716.2,3.06,400935,32.6,-10,23.7,32.3,NA,49.6,NA,71,2,A,190.3,202,-8,16,9.1,15.2,12,132189,-61,12,5,NA,6.3,2590,Yes,5.54,209,2363,NA,No,2225,NA,No,No,No,0.61,0,No,154,1.3,1747,-8,New York Stock Exchange,No,94,Yes,2.91,-,102,400445.1,24,3,950.6,3.5,Yes,Yes,27,2.1,ENERGY,9.8,NA,No,46,99117.4,No,No,No,65.3,9.8,NA,15.6,0.6,2026-07-24,PSX,30,15,5,0,12,10,10,82,110.33333333333333,30,FALSE,FALSE,Momentum Leader
4228,VBNK,VersaBank,NA,6,2.8,2.2,22.86,0,0,0,1,2038.4,193882,07/10/2026,0,A,No,No,No,No,Yes,-0.17,4.2,0.3,68.29,6.2,2.24,2.32,61,116.62,13,13.6,4.64,5.83,NA,23,27.2,10,8,No,Yes,8.8,53,35.1,19.6,35,9,-7,33,6,No,No,41.2,21.15,Banks-Foreign,NA,2.4,67,No,1.19,18.9,No,42,21,-23.4,1,0,25.05,67,61,27,1.01,Yes,23,-1.58,-15.57,93,84,94,0.6,2022,694.7,4.5,32195.7,35.2,83.2,10.2,31.6,NA,35.4,NA,89,62,B,10.9,50,48,8.6,-2.7,1.3,12,90,-9,25,-20,NA,31.7,103,Yes,-0.34,53,180,NA,No,55,NA,No,No,No,6.65,0,No,48,2,43,0,NASDAQ,No,89,Yes,1.68,-,94,20022.6,68,-19,45.4,31.5,Yes,Yes,25.5,0,BANKS,-2.8,NA,No,10,345.1,No,No,No,83,14.5,NA,6.1,8.8,2026-07-24,VBNK,20,15,5,7,12,7,10,76,102.33333333333333,40,FALSE,FALSE,Momentum Leader
4232,VCTR,Victory Capital Holdings Inc. Cl A,NA,5.5,5.9,5.2,102.05,0,0.9,1,3,1060.8,2599075,06/10/2026,0,B,No,Yes,No,Yes,Yes,5.57,12.2,2.1,1.79,16.96,1.59,2.07,41,84.33,13,33.1,3.34,3.33,NA,51.9,64.4,7,20,Yes,Yes,22,25.8,24.3,21.2,53,7,16,24,11,Yes,No,56.2,98.52,Finance-Investment Mgmt,NA,2.7,85,Yes,2.92,42.9,Yes,113,14,-12.5,4.8,0,102.05,110,86,41,6.8,Yes,8,-2.05,-3.46,92,95,99,1.22,45534,6289.4,3.33,62531.1,36.3,11.1,13.3,33.4,NA,45.2,NA,93,71,A+,11.8,17,9,13.2,6.3,11,31,1306.1,19,77,19,NA,68.8,526,Yes,-2.06,14,568,NA,No,463,NA,No,No,No,4.18,0,Yes,34,1.8,23,45,NASDAQ,Yes,94,Yes,2.61,-,97,53931.5,21,20,28.3,65.9,Yes,Yes,31.1,2.2,FINANCE,6.8,NA,No,52,7045.6,No,No,No,38.8,10,NA,18.6,28.9,2026-07-24,VCTR,25,12,10,0,12,10,10,79,110.33333333333333,40,TRUE,TRUE,Momentum Leader
