Symbol
DELL
PBF
MPC
VLO
CRSR
DINO
PARR
AYA
RNG
FRO
OKTA
TNK
UGP
CXW
PSX
LPG
NSIT
ANF
HALO
NMM
RDVT
DHT
EQNR
GCBC
OPY
VWDRY
BBVA
BWLP
HAFN
ING
ITGR
NMR
KARO
JXN
DSEEY
FBIZ
CF
TEAM
TK
SFL
MSADY
QRVO
YAHOY
CNXN
WPM
IDT
HRMY
DBX
FSM
PD
SAIC
DNKEY
MTCH
